GEOID,NAME,Intent,Period,Count,Rate,Data_As_Of,TTM_Date_Range
01,Alabama,FA_Suicide,TTM,620,12.1,04/04/2025,"December, 2023 to November, 2024"
02,Alaska,All_Homicide,2019,78,10.7,04/04/2025,
02,Alaska,All_Homicide,2020,55,7.5,04/04/2025,
02,Alaska,All_Homicide,2021,49,6.7,04/04/2025,
02,Alaska,All_Homicide,2022,76,10.4,04/04/2025,
02,Alaska,All_Homicide,2023,61,8.300000000000001,04/04/2025,
02,Alaska,All_Homicide,TTM,58,7.9,04/04/2025,"December, 2023 to November, 2024"
02,Alaska,All_Suicide,2019,210,28.7,04/04/2025,
02,Alaska,All_Suicide,2020,204,27.8,04/04/2025,
02,Alaska,All_Suicide,2021,220,29.9,04/04/2025,
02,Alaska,All_Suicide,2022,200,27.3,04/04/2025,
02,Alaska,All_Suicide,2023,206,28.1,04/04/2025,
02,Alaska,All_Suicide,TTM,226,30.8,04/04/2025,"December, 2023 to November, 2024"
02,Alaska,Drug_OD,2019,118,16.1,04/04/2025,
02,Alaska,Drug_OD,2020,149,20.3,04/04/2025,
02,Alaska,Drug_OD,2021,253,34.4,04/04/2025,
02,Alaska,Drug_OD,2022,245,33.4,04/04/2025,
02,Alaska,Drug_OD,2023,346,47.2,04/04/2025,
02,Alaska,Drug_OD,TTM,368,50.2,04/04/2025,"October, 2023 to September, 2024"
02,Alaska,FA_Deaths,2019,179,24.5,04/04/2025,
02,Alaska,FA_Deaths,2020,175,23.9,04/04/2025,
02,Alaska,FA_Deaths,2021,182,24.8,04/04/2025,
02,Alaska,FA_Deaths,2022,164,22.4,04/04/2025,
02,Alaska,FA_Deaths,2023,176,24,04/04/2025,
02,Alaska,FA_Deaths,TTM,186,25.4,04/04/2025,"December, 2023 to November, 2024"
02,Alaska,FA_Homicide,2019,51,7,04/04/2025,
02,Alaska,FA_Homicide,2020,27,3.7,04/04/2025,
02,Alaska,FA_Homicide,2021,31,4.2,04/04/2025,
02,Alaska,FA_Homicide,2022,41,5.6,04/04/2025,
02,Alaska,FA_Homicide,2023,47,6.4,04/04/2025,
02,Alaska,FA_Homicide,TTM,35,4.8,04/04/2025,"December, 2023 to November, 2024"
02,Alaska,FA_Suicide,2019,117,16,04/04/2025,
02,Alaska,FA_Suicide,2020,133,18.1,04/04/2025,
02,Alaska,FA_Suicide,2021,142,19.3,04/04/2025,
02,Alaska,FA_Suicide,2022,114,15.5,04/04/2025,
02,Alaska,FA_Suicide,2023,120,16.4,04/04/2025,
02,Alaska,FA_Suicide,TTM,143,19.5,04/04/2025,"December, 2023 to November, 2024"
04,Arizona,All_Homicide,2019,414,5.7,04/04/2025,
04,Arizona,All_Homicide,2020,525,7.3,04/04/2025,
04,Arizona,All_Homicide,2021,562,7.7,04/04/2025,
04,Arizona,All_Homicide,2022,629,8.5,04/04/2025,
04,Arizona,All_Homicide,2023,531,7.1,04/04/2025,
04,Arizona,All_Homicide,TTM,457,6.1,04/04/2025,"December, 2023 to November, 2024"
04,Arizona,All_Suicide,2019,1419,19.5,04/04/2025,
04,Arizona,All_Suicide,2020,1363,19,04/04/2025,
04,Arizona,All_Suicide,2021,1475,20.3,04/04/2025,
04,Arizona,All_Suicide,2022,1603,21.8,04/04/2025,
04,Arizona,All_Suicide,2023,1506,20.3,04/04/2025,
04,Arizona,All_Suicide,TTM,1531,20.6,04/04/2025,"December, 2023 to November, 2024"
04,Arizona,Drug_OD,2019,1756,24.1,04/04/2025,
04,Arizona,Drug_OD,2020,2427,33.8,04/04/2025,
04,Arizona,Drug_OD,2021,2604,35.8,04/04/2025,
04,Arizona,Drug_OD,2022,2486,33.8,04/04/2025,
04,Arizona,Drug_OD,2023,2479,33.4,04/04/2025,
04,Arizona,Drug_OD,TTM,2274,30.6,04/04/2025,"October, 2023 to September, 2024"
04,Arizona,FA_Deaths,2019,1136,15.6,04/04/2025,
04,Arizona,FA_Deaths,2020,1265,17.6,04/04/2025,
04,Arizona,FA_Deaths,2021,1365,18.8,04/04/2025,
04,Arizona,FA_Deaths,2022,1535,20.8,04/04/2025,
04,Arizona,FA_Deaths,2023,1419,19.1,04/04/2025,
04,Arizona,FA_Deaths,TTM,1324,17.8,04/04/2025,"December, 2023 to November, 2024"
04,Arizona,FA_Homicide,2019,285,3.9,04/04/2025,
04,Arizona,FA_Homicide,2020,382,5.3,04/04/2025,
04,Arizona,FA_Homicide,2021,430,5.9,04/04/2025,
04,Arizona,FA_Homicide,2022,490,6.7,04/04/2025,
04,Arizona,FA_Homicide,2023,410,5.5,04/04/2025,
04,Arizona,FA_Homicide,TTM,321,4.3,04/04/2025,"December, 2023 to November, 2024"
04,Arizona,FA_Suicide,2019,809,11.1,04/04/2025,
04,Arizona,FA_Suicide,2020,830,11.5,04/04/2025,
04,Arizona,FA_Suicide,2021,879,12.1,04/04/2025,
04,Arizona,FA_Suicide,2022,982,13.3,04/04/2025,
04,Arizona,FA_Suicide,2023,951,12.8,04/04/2025,
04,Arizona,FA_Suicide,TTM,938,12.6,04/04/2025,"December, 2023 to November, 2024"
05,Arkansas,All_Homicide,2019,270,8.9,04/04/2025,
05,Arkansas,All_Homicide,2020,371,12.3,04/04/2025,
05,Arkansas,All_Homicide,2021,335,11.1,04/04/2025,
05,Arkansas,All_Homicide,2022,345,11.3,04/04/2025,
05,Arkansas,All_Homicide,2023,325,10.6,04/04/2025,
05,Arkansas,All_Homicide,TTM,253,8.199999999999999,04/04/2025,"December, 2023 to November, 2024"
05,Arkansas,All_Suicide,2019,548,18.2,04/04/2025,
05,Arkansas,All_Suicide,2020,583,19.3,04/04/2025,
05,Arkansas,All_Suicide,2021,618,20.4,04/04/2025,
05,Arkansas,All_Suicide,2022,547,18,04/04/2025,
05,Arkansas,All_Suicide,2023,626,20.4,04/04/2025,
05,Arkansas,All_Suicide,TTM,588,19.2,04/04/2025,"December, 2023 to November, 2024"
05,Arkansas,Drug_OD,2019,352,11.7,04/04/2025,
05,Arkansas,Drug_OD,2020,493,16.4,04/04/2025,
05,Arkansas,Drug_OD,2021,592,19.5,04/04/2025,
05,Arkansas,Drug_OD,2022,576,18.9,04/04/2025,
05,Arkansas,Drug_OD,2023,473,15.4,04/04/2025,
05,Arkansas,Drug_OD,TTM,393,12.8,04/04/2025,"October, 2023 to September, 2024"
05,Arkansas,FA_Deaths,2019,580,19.2,04/04/2025,
05,Arkansas,FA_Deaths,2020,673,22.3,04/04/2025,
05,Arkansas,FA_Deaths,2021,698,23,04/04/2025,
05,Arkansas,FA_Deaths,2022,666,21.9,04/04/2025,
05,Arkansas,FA_Deaths,2023,671,21.9,04/04/2025,
05,Arkansas,FA_Deaths,TTM,648,21.1,04/04/2025,"December, 2023 to November, 2024"
05,Arkansas,FA_Homicide,2019,208,6.9,04/04/2025,
05,Arkansas,FA_Homicide,2020,282,9.4,04/04/2025,
05,Arkansas,FA_Homicide,2021,281,9.300000000000001,04/04/2025,
05,Arkansas,FA_Homicide,2022,290,9.5,04/04/2025,
05,Arkansas,FA_Homicide,2023,265,8.6,04/04/2025,
05,Arkansas,FA_Homicide,TTM,224,7.3,04/04/2025,"December, 2023 to November, 2024"
05,Arkansas,FA_Suicide,2019,341,11.3,04/04/2025,
05,Arkansas,FA_Suicide,2020,364,12.1,04/04/2025,
05,Arkansas,FA_Suicide,2021,391,12.9,04/04/2025,
05,Arkansas,FA_Suicide,2022,341,11.2,04/04/2025,
05,Arkansas,FA_Suicide,2023,394,12.8,04/04/2025,
05,Arkansas,FA_Suicide,TTM,401,13.1,04/04/2025,"December, 2023 to November, 2024"
06,California,All_Homicide,2019,1794,4.5,04/04/2025,
06,California,All_Homicide,2020,2368,6,04/04/2025,
06,California,All_Homicide,2021,2495,6.4,04/04/2025,
06,California,All_Homicide,2022,2304,5.9,04/04/2025,
06,California,All_Homicide,2023,1972,5.1,04/04/2025,
06,California,All_Homicide,TTM,1765,4.5,04/04/2025,"December, 2023 to November, 2024"
06,California,All_Suicide,2019,4436,11.2,04/04/2025,
06,California,All_Suicide,2020,4144,10.5,04/04/2025,
06,California,All_Suicide,2021,4148,10.6,04/04/2025,
06,California,All_Suicide,2022,4312,11,04/04/2025,
06,California,All_Suicide,2023,4200,10.8,04/04/2025,
06,California,All_Suicide,TTM,3993,10.2,04/04/2025,"December, 2023 to November, 2024"
06,California,Drug_OD,2019,5688,14.4,04/04/2025,
06,California,Drug_OD,2020,8486,21.5,04/04/2025,
06,California,Drug_OD,2021,10476,26.8,04/04/2025,
06,California,Drug_OD,2022,10442,26.7,04/04/2025,
06,California,Drug_OD,2023,10897,28,04/04/2025,
06,California,Drug_OD,TTM,8979,23,04/04/2025,"October, 2023 to September, 2024"
06,California,FA_Deaths,2019,2945,7.5,04/04/2025,
06,California,FA_Deaths,2020,3449,8.699999999999999,04/04/2025,
06,California,FA_Deaths,2021,3576,9.1,04/04/2025,
06,California,FA_Deaths,2022,3484,8.9,04/04/2025,
06,California,FA_Deaths,2023,3209,8.199999999999999,04/04/2025,
06,California,FA_Deaths,TTM,2853,7.3,04/04/2025,"December, 2023 to November, 2024"
06,California,FA_Homicide,2019,1246,3.2,04/04/2025,
06,California,FA_Homicide,2020,1732,4.4,04/04/2025,
06,California,FA_Homicide,2021,1861,4.8,04/04/2025,
06,California,FA_Homicide,2022,1676,4.3,04/04/2025,
06,California,FA_Homicide,2023,1427,3.7,04/04/2025,
06,California,FA_Homicide,TTM,1215,3.1,04/04/2025,"December, 2023 to November, 2024"
06,California,FA_Suicide,2019,1586,4,04/04/2025,
06,California,FA_Suicide,2020,1552,3.9,04/04/2025,
06,California,FA_Suicide,2021,1575,4,04/04/2025,
06,California,FA_Suicide,2022,1689,4.3,04/04/2025,
06,California,FA_Suicide,2023,1647,4.2,04/04/2025,
06,California,FA_Suicide,TTM,1526,3.9,04/04/2025,"December, 2023 to November, 2024"
08,Colorado,All_Homicide,2019,250,4.3,04/04/2025,
08,Colorado,All_Homicide,2020,336,5.8,04/04/2025,
08,Colorado,All_Homicide,2021,368,6.3,04/04/2025,
08,Colorado,All_Homicide,2022,417,7.1,04/04/2025,
08,Colorado,All_Homicide,2023,368,6.3,04/04/2025,
08,Colorado,All_Homicide,TTM,316,5.4,04/04/2025,"December, 2023 to November, 2024"
08,Colorado,All_Suicide,2019,1312,22.8,04/04/2025,
08,Colorado,All_Suicide,2020,1302,22.5,04/04/2025,
08,Colorado,All_Suicide,2021,1384,23.8,04/04/2025,
08,Colorado,All_Suicide,2022,1293,22.1,04/04/2025,
08,Colorado,All_Suicide,2023,1297,22.1,04/04/2025,
08,Colorado,All_Suicide,TTM,1321,22.5,04/04/2025,"December, 2023 to November, 2024"
08,Colorado,Drug_OD,2019,913,15.9,04/04/2025,
08,Colorado,Drug_OD,2020,1327,22.9,04/04/2025,
08,Colorado,Drug_OD,2021,1715,29.5,04/04/2025,
08,Colorado,Drug_OD,2022,1641,28.1,04/04/2025,
08,Colorado,Drug_OD,2023,1702,29,04/04/2025,
08,Colorado,Drug_OD,TTM,1516,25.8,04/04/2025,"October, 2023 to September, 2024"
08,Colorado,FA_Deaths,2019,846,14.7,04/04/2025,
08,Colorado,FA_Deaths,2020,922,15.9,04/04/2025,
08,Colorado,FA_Deaths,2021,1064,18.3,04/04/2025,
08,Colorado,FA_Deaths,2022,1036,17.7,04/04/2025,
08,Colorado,FA_Deaths,2023,1019,17.3,04/04/2025,
08,Colorado,FA_Deaths,TTM,966,16.4,04/04/2025,"December, 2023 to November, 2024"
08,Colorado,FA_Homicide,2019,164,2.8,04/04/2025,
08,Colorado,FA_Homicide,2020,235,4.1,04/04/2025,
08,Colorado,FA_Homicide,2021,276,4.7,04/04/2025,
08,Colorado,FA_Homicide,2022,304,5.2,04/04/2025,
08,Colorado,FA_Homicide,2023,261,4.4,04/04/2025,
08,Colorado,FA_Homicide,TTM,222,3.8,04/04/2025,"December, 2023 to November, 2024"
08,Colorado,FA_Suicide,2019,647,11.2,04/04/2025,
08,Colorado,FA_Suicide,2020,654,11.3,04/04/2025,
08,Colorado,FA_Suicide,2021,745,12.8,04/04/2025,
08,Colorado,FA_Suicide,2022,691,11.8,04/04/2025,
08,Colorado,FA_Suicide,2023,721,12.3,04/04/2025,
08,Colorado,FA_Suicide,TTM,708,12,04/04/2025,"December, 2023 to November, 2024"
09,Connecticut,All_Homicide,2019,106,3,04/04/2025,
09,Connecticut,All_Homicide,2020,152,4.2,04/04/2025,
09,Connecticut,All_Homicide,2021,160,4.4,04/04/2025,
09,Connecticut,All_Homicide,2022,147,4.1,04/04/2025,
09,Connecticut,All_Homicide,2023,153,4.2,04/04/2025,
09,Connecticut,All_Homicide,TTM,105,2.9,04/04/2025,"December, 2023 to November, 2024"
09,Connecticut,All_Suicide,2019,435,12.2,04/04/2025,
09,Connecticut,All_Suicide,2020,364,10.2,04/04/2025,
09,Connecticut,All_Suicide,2021,401,11.1,04/04/2025,
09,Connecticut,All_Suicide,2022,398,11,04/04/2025,
09,Connecticut,All_Suicide,2023,356,9.800000000000001,04/04/2025,
09,Connecticut,All_Suicide,TTM,397,11,04/04/2025,"December, 2023 to November, 2024"
09,Connecticut,Drug_OD,2019,1133,31.8,04/04/2025,
09,Connecticut,Drug_OD,2020,1310,36.6,04/04/2025,
09,Connecticut,Drug_OD,2021,1473,40.9,04/04/2025,
09,Connecticut,Drug_OD,2022,1420,39.3,04/04/2025,
09,Connecticut,Drug_OD,2023,1256,34.7,04/04/2025,
09,Connecticut,Drug_OD,TTM,1003,27.7,04/04/2025,"October, 2023 to September, 2024"
09,Connecticut,FA_Deaths,2019,190,5.3,04/04/2025,
09,Connecticut,FA_Deaths,2020,219,6.1,04/04/2025,
09,Connecticut,FA_Deaths,2021,248,6.9,04/04/2025,
09,Connecticut,FA_Deaths,2022,252,7,04/04/2025,
09,Connecticut,FA_Deaths,2023,225,6.2,04/04/2025,
09,Connecticut,FA_Deaths,TTM,225,6.2,04/04/2025,"December, 2023 to November, 2024"
09,Connecticut,FA_Homicide,2019,65,1.8,04/04/2025,
09,Connecticut,FA_Homicide,2020,101,2.8,04/04/2025,
09,Connecticut,FA_Homicide,2021,116,3.2,04/04/2025,
09,Connecticut,FA_Homicide,2022,114,3.2,04/04/2025,
09,Connecticut,FA_Homicide,2023,104,2.9,04/04/2025,
09,Connecticut,FA_Homicide,TTM,74,2,04/04/2025,"December, 2023 to November, 2024"
09,Connecticut,FA_Suicide,2019,118,3.3,04/04/2025,
09,Connecticut,FA_Suicide,2020,109,3,04/04/2025,
09,Connecticut,FA_Suicide,2021,122,3.4,04/04/2025,
09,Connecticut,FA_Suicide,2022,132,3.7,04/04/2025,
09,Connecticut,FA_Suicide,2023,112,3.1,04/04/2025,
09,Connecticut,FA_Suicide,TTM,144,4,04/04/2025,"December, 2023 to November, 2024"
10,Delaware,All_Homicide,2019,53,5.4,04/04/2025,
10,Delaware,All_Homicide,2020,86,8.699999999999999,04/04/2025,
10,Delaware,All_Homicide,2021,103,10.2,04/04/2025,
10,Delaware,All_Homicide,2022,64,6.3,04/04/2025,
10,Delaware,All_Homicide,2023,55,5.3,04/04/2025,
10,Delaware,All_Homicide,TTM,65,6.3,04/04/2025,"December, 2023 to November, 2024"
10,Delaware,All_Suicide,2019,111,11.4,04/04/2025,
10,Delaware,All_Suicide,2020,124,12.5,04/04/2025,
10,Delaware,All_Suicide,2021,137,13.6,04/04/2025,
10,Delaware,All_Suicide,2022,130,12.8,04/04/2025,
10,Delaware,All_Suicide,2023,144,14,04/04/2025,
10,Delaware,All_Suicide,TTM,120,11.6,04/04/2025,"December, 2023 to November, 2024"
10,Delaware,Drug_OD,2019,423,43.4,04/04/2025,
10,Delaware,Drug_OD,2020,434,43.8,04/04/2025,
10,Delaware,Drug_OD,2021,503,50.1,04/04/2025,
10,Delaware,Drug_OD,2022,535,52.5,04/04/2025,
10,Delaware,Drug_OD,2023,507,49.1,04/04/2025,
10,Delaware,Drug_OD,TTM,345,33.4,04/04/2025,"October, 2023 to September, 2024"
10,Delaware,FA_Deaths,2019,93,9.6,04/04/2025,
10,Delaware,FA_Deaths,2020,135,13.6,04/04/2025,
10,Delaware,FA_Deaths,2021,158,15.7,04/04/2025,
10,Delaware,FA_Deaths,2022,124,12.2,04/04/2025,
10,Delaware,FA_Deaths,2023,124,12,04/04/2025,
10,Delaware,FA_Deaths,TTM,119,11.5,04/04/2025,"December, 2023 to November, 2024"
10,Delaware,FA_Homicide,2019,45,4.6,04/04/2025,
10,Delaware,FA_Homicide,2020,76,7.7,04/04/2025,
10,Delaware,FA_Homicide,2021,80,8,04/04/2025,
10,Delaware,FA_Homicide,2022,48,4.7,04/04/2025,
10,Delaware,FA_Homicide,2023,43,4.2,04/04/2025,
10,Delaware,FA_Homicide,TTM,49,4.7,04/04/2025,"December, 2023 to November, 2024"
10,Delaware,FA_Suicide,2019,45,4.6,04/04/2025,
10,Delaware,FA_Suicide,2020,58,5.8,04/04/2025,
10,Delaware,FA_Suicide,2021,76,7.6,04/04/2025,
10,Delaware,FA_Suicide,2022,74,7.3,04/04/2025,
10,Delaware,FA_Suicide,2023,76,7.4,04/04/2025,
10,Delaware,FA_Suicide,TTM,68,6.6,04/04/2025,"December, 2023 to November, 2024"
11,District of Columbia,All_Homicide,2019,162,23,04/04/2025,
11,District of Columbia,All_Homicide,2020,187,27.9,04/04/2025,
11,District of Columbia,All_Homicide,2021,223,33.3,04/04/2025,
11,District of Columbia,All_Homicide,2022,169,25.2,04/04/2025,
11,District of Columbia,All_Homicide,2023,244,35.9,04/04/2025,
11,District of Columbia,All_Homicide,TTM,182,26.8,04/04/2025,"December, 2023 to November, 2024"
11,District of Columbia,All_Suicide,2019,44,6.2,04/04/2025,
11,District of Columbia,All_Suicide,2020,38,5.7,04/04/2025,
11,District of Columbia,All_Suicide,2021,46,6.9,04/04/2025,
11,District of Columbia,All_Suicide,2022,44,6.6,04/04/2025,
11,District of Columbia,All_Suicide,2023,41,6,04/04/2025,
11,District of Columbia,All_Suicide,TTM,40,5.9,04/04/2025,"December, 2023 to November, 2024"
11,District of Columbia,Drug_OD,2019,303,42.9,04/04/2025,
11,District of Columbia,Drug_OD,2020,417,62.2,04/04/2025,
11,District of Columbia,Drug_OD,2021,445,66.5,04/04/2025,
11,District of Columbia,Drug_OD,2022,446,66.5,04/04/2025,
11,District of Columbia,Drug_OD,2023,420,61.9,04/04/2025,
11,District of Columbia,Drug_OD,TTM,338,49.8,04/04/2025,"October, 2023 to September, 2024"
11,District of Columbia,FA_Deaths,2019,141,20,04/04/2025,
11,District of Columbia,FA_Deaths,2020,167,24.9,04/04/2025,
11,District of Columbia,FA_Deaths,2021,185,27.7,04/04/2025,
11,District of Columbia,FA_Deaths,2022,154,23,04/04/2025,
11,District of Columbia,FA_Deaths,2023,225,33.1,04/04/2025,
11,District of Columbia,FA_Deaths,TTM,158,23.3,04/04/2025,"December, 2023 to November, 2024"
11,District of Columbia,FA_Homicide,2019,128,18.1,04/04/2025,
11,District of Columbia,FA_Homicide,2020,157,23.4,04/04/2025,
11,District of Columbia,FA_Homicide,2021,169,25.3,04/04/2025,
11,District of Columbia,FA_Homicide,2022,141,21,04/04/2025,
11,District of Columbia,FA_Homicide,2023,211,31.1,04/04/2025,
11,District of Columbia,FA_Homicide,TTM,145,21.4,04/04/2025,"December, 2023 to November, 2024"
11,District of Columbia,FA_Suicide,2019,12,1.7,04/04/2025,
11,District of Columbia,FA_Suicide,2020,1-9,-999,04/04/2025,
11,District of Columbia,FA_Suicide,2021,12,1.8,04/04/2025,
11,District of Columbia,FA_Suicide,2022,12,1.8,04/04/2025,
11,District of Columbia,FA_Suicide,2023,10,1.5,04/04/2025,
11,District of Columbia,FA_Suicide,TTM,12,1.8,04/04/2025,"December, 2023 to November, 2024"
12,Florida,All_Homicide,2019,1334,6.2,04/04/2025,
12,Florida,All_Homicide,2020,1530,7.1,04/04/2025,
12,Florida,All_Homicide,2021,1468,6.7,04/04/2025,
12,Florida,All_Homicide,2022,1473,6.6,04/04/2025,
12,Florida,All_Homicide,2023,1361,6,04/04/2025,
12,Florida,All_Homicide,TTM,1190,5.3,04/04/2025,"December, 2023 to November, 2024"
12,Florida,All_Suicide,2019,3465,16.1,04/04/2025,
12,Florida,All_Suicide,2020,3135,14.5,04/04/2025,
12,Florida,All_Suicide,2021,3351,15.3,04/04/2025,
12,Florida,All_Suicide,2022,3446,15.5,04/04/2025,
12,Florida,All_Suicide,2023,3620,16,04/04/2025,
12,Florida,All_Suicide,TTM,3610,16,04/04/2025,"December, 2023 to November, 2024"
12,Florida,Drug_OD,2019,4847,22.6,04/04/2025,
12,Florida,Drug_OD,2020,6882,31.9,04/04/2025,
12,Florida,Drug_OD,2021,7477,34.2,04/04/2025,
12,Florida,Drug_OD,2022,7157,32.2,04/04/2025,
12,Florida,Drug_OD,2023,6636,29.3,04/04/2025,
12,Florida,Drug_OD,TTM,5235,23.2,04/04/2025,"October, 2023 to September, 2024"
12,Florida,FA_Deaths,2019,2872,13.4,04/04/2025,
12,Florida,FA_Deaths,2020,3041,14.1,04/04/2025,
12,Florida,FA_Deaths,2021,3142,14.4,04/04/2025,
12,Florida,FA_Deaths,2022,3232,14.5,04/04/2025,
12,Florida,FA_Deaths,2023,3253,14.4,04/04/2025,
12,Florida,FA_Deaths,TTM,3170,14,04/04/2025,"December, 2023 to November, 2024"
12,Florida,FA_Homicide,2019,1013,4.7,04/04/2025,
12,Florida,FA_Homicide,2020,1227,5.7,04/04/2025,
12,Florida,FA_Homicide,2021,1150,5.3,04/04/2025,
12,Florida,FA_Homicide,2022,1170,5.3,04/04/2025,
12,Florida,FA_Homicide,2023,1064,4.7,04/04/2025,
12,Florida,FA_Homicide,TTM,894,4,04/04/2025,"December, 2023 to November, 2024"
12,Florida,FA_Suicide,2019,1808,8.4,04/04/2025,
12,Florida,FA_Suicide,2020,1730,8,04/04/2025,
12,Florida,FA_Suicide,2021,1928,8.800000000000001,04/04/2025,
12,Florida,FA_Suicide,2022,1988,8.9,04/04/2025,
12,Florida,FA_Suicide,2023,2099,9.300000000000001,04/04/2025,
12,Florida,FA_Suicide,TTM,2204,9.699999999999999,04/04/2025,"December, 2023 to November, 2024"
13,Georgia,All_Homicide,2019,849,8,04/04/2025,
13,Georgia,All_Homicide,2020,1093,10.2,04/04/2025,
13,Georgia,All_Homicide,2021,1206,11.2,04/04/2025,
13,Georgia,All_Homicide,2022,1223,11.2,04/04/2025,
13,Georgia,All_Homicide,2023,1067,9.699999999999999,04/04/2025,
13,Georgia,All_Homicide,TTM,986,8.9,04/04/2025,"December, 2023 to November, 2024"
13,Georgia,All_Suicide,2019,1585,14.9,04/04/2025,
13,Georgia,All_Suicide,2020,1491,13.9,04/04/2025,
13,Georgia,All_Suicide,2021,1676,15.5,04/04/2025,
13,Georgia,All_Suicide,2022,1624,14.9,04/04/2025,
13,Georgia,All_Suicide,2023,1670,15.1,04/04/2025,
13,Georgia,All_Suicide,TTM,1635,14.8,04/04/2025,"December, 2023 to November, 2024"
13,Georgia,Drug_OD,2019,1288,12.1,04/04/2025,
13,Georgia,Drug_OD,2020,1822,17,04/04/2025,
13,Georgia,Drug_OD,2021,2380,22.1,04/04/2025,
13,Georgia,Drug_OD,2022,2568,23.5,04/04/2025,
13,Georgia,Drug_OD,2023,2467,22.4,04/04/2025,
13,Georgia,Drug_OD,TTM,2021,18.3,04/04/2025,"October, 2023 to September, 2024"
13,Georgia,FA_Deaths,2019,1695,16,04/04/2025,
13,Georgia,FA_Deaths,2020,1897,17.7,04/04/2025,
13,Georgia,FA_Deaths,2021,2200,20.4,04/04/2025,
13,Georgia,FA_Deaths,2022,2163,19.8,04/04/2025,
13,Georgia,FA_Deaths,2023,2070,18.8,04/04/2025,
13,Georgia,FA_Deaths,TTM,1973,17.9,04/04/2025,"December, 2023 to November, 2024"
13,Georgia,FA_Homicide,2019,691,6.5,04/04/2025,
13,Georgia,FA_Homicide,2020,899,8.4,04/04/2025,
13,Georgia,FA_Homicide,2021,1021,9.5,04/04/2025,
13,Georgia,FA_Homicide,2022,1033,9.5,04/04/2025,
13,Georgia,FA_Homicide,2023,892,8.1,04/04/2025,
13,Georgia,FA_Homicide,TTM,804,7.3,04/04/2025,"December, 2023 to November, 2024"
13,Georgia,FA_Suicide,2019,955,9,04/04/2025,
13,Georgia,FA_Suicide,2020,939,8.699999999999999,04/04/2025,
13,Georgia,FA_Suicide,2021,1115,10.3,04/04/2025,
13,Georgia,FA_Suicide,2022,1050,9.6,04/04/2025,
13,Georgia,FA_Suicide,2023,1116,10.1,04/04/2025,
13,Georgia,FA_Suicide,TTM,1112,10.1,04/04/2025,"December, 2023 to November, 2024"
15,Hawaii,All_Homicide,2019,35,2.5,04/04/2025,
15,Hawaii,All_Homicide,2020,46,3.2,04/04/2025,
15,Hawaii,All_Homicide,2021,39,2.7,04/04/2025,
15,Hawaii,All_Homicide,2022,42,2.9,04/04/2025,
15,Hawaii,All_Homicide,2023,42,2.9,04/04/2025,
15,Hawaii,All_Homicide,TTM,40,2.8,04/04/2025,"December, 2023 to November, 2024"
15,Hawaii,All_Suicide,2019,224,15.8,04/04/2025,
